license_id,county,age,birth_date,violation_code,violation_year,violation_month,points
UV563819,Bronx,33,1991-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
ZL109201,Queens,20,2004-12-06,FAIL TO SIGNAL,2025,11,2
DY932701,Monroe,23,2001-12-06,SPEED IN ZONE 21-30,2025,11,6
IB689073,Other,65,1959-12-07,UNLICENSED OPERATOR,2025,11,0
RT719751,Monroe,59,1965-12-06,IMPROPER CELL PHONE USE,2025,11,5
NS264282,Bronx,44,1980-12-06,FAILED TO STOP SCHOOL BUS,2025,11,5
FD716850,Nassau,32,1992-12-06,SPEED IN ZONE 1-10,2025,11,3
XG547958,Nassau,32,1992-12-06,DRIVING LEFT OF CENTER,2025,11,3
JA151475,Richmond,20,2004-12-06,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
WW415476,Westchester,29,1995-12-07,CHILD SAFETY RESTRAINT,2025,11,3
PR819864,Richmond,20,2004-12-06,FAULTY EQUIPMENT,2025,11,0
MV466100,Suffolk,34,1990-12-07,UNLICENSED OPERATOR,2025,11,0
YD921087,Other,51,1973-12-06,UNLICENSED OPERATOR,2025,11,0
ZO295410,Other,17,2007-12-07,DRIVING LEFT OF CENTER,2025,11,3
GW819308,Monroe,21,2003-12-07,SPEED IN ZONE 21-30,2025,11,6
LG898362,Suffolk,39,1985-12-06,SPEED OVER 40,2025,11,11
MQ778285,Other,19,2005-12-06,UNINSPECTED VEHICLE,2025,11,0
MK369841,Other,49,1975-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
JM194820,Other,41,1983-12-07,UNREGISTERED VEHICLE,2025,11,0
OL663537,Other,32,1992-12-06,FAIL TO SIGNAL,2025,11,2
BD976214,Queens,40,1984-12-06,CHILD SAFETY RESTRAINT,2025,11,3
BW422842,New York,42,1982-12-07,FAILED TO STOP SCHOOL BUS,2025,11,5
RU173852,Erie,19,2005-12-06,UNLICENSED OPERATOR,2025,11,0
NV528560,Other,55,1969-12-06,RECKLESS DRIVING,2025,11,5
MO554778,Other,30,1994-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
OB238739,Kings,22,2002-12-07,FAULTY EQUIPMENT,2025,11,0
JE135654,Richmond,49,1975-12-07,DISOBEY TRAFFIC DEVICE,2025,11,2
GG192130,New York,50,1974-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
MD918435,Other,42,1982-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
BO844528,Erie,35,1989-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
MP751753,Kings,24,2000-12-06,DISOBEY TRAFFIC DEVICE,2025,11,2
YD949280,Kings,16,2008-12-06,RAILROAD CROSSING VIOLATION,2025,11,5
AX829433,Monroe,31,1993-12-06,FAIL TO SIGNAL,2025,11,2
WP469550,Bronx,23,2001-12-06,IMPROPER TURN,2025,11,2
PM960391,Kings,21,2003-12-07,CHILD SAFETY RESTRAINT,2025,11,3
OQ776985,Erie,31,1993-12-06,DRIVING LEFT OF CENTER,2025,11,3
AD935168,Other,32,1992-12-06,RECKLESS DRIVING,2025,11,5
AH442081,Onondaga,61,1963-12-07,SPEED OVER 40,2025,11,11
AH603831,Bronx,26,1998-12-07,TINTED WINDOW,2025,11,0
RD969202,Erie,26,1998-12-07,IMPROPER CELL PHONE USE,2025,11,5
YF739121,Kings,34,1990-12-07,FAIL TO SIGNAL,2025,11,2
PU391476,Monroe,34,1990-12-07,IMPROPER CELL PHONE USE,2025,11,5
CE331700,Richmond,57,1967-12-07,SPEED IN ZONE 31-40,2025,11,8
MJ737777,Richmond,43,1981-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
BS795079,Erie,43,1981-12-06,IMPROPER CELL PHONE USE,2025,11,5
NQ376179,Richmond,31,1993-12-06,FAILED TO STOP SCHOOL BUS,2025,11,5
SD110928,Other,37,1987-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
OW314297,Kings,43,1981-12-06,FAILED TO STOP SCHOOL BUS,2025,11,5
DV504834,Other,23,2001-12-06,DISOBEY TRAFFIC DEVICE,2025,11,2
NA983534,Queens,27,1997-12-06,DISOBEY TRAFFIC DEVICE,2025,11,2
UQ288006,Other,18,2006-12-07,IMPROPER TURN,2025,11,2
XL364977,Nassau,29,1995-12-07,SPEED IN ZONE 21-30,2025,11,6
HD382121,Kings,40,1984-12-06,UNINSPECTED VEHICLE,2025,11,0
NW298651,New York,26,1998-12-07,IMPROPER PASSING,2025,11,3
OD532506,Kings,29,1995-12-07,UNLICENSED OPERATOR,2025,11,0
MS073549,Queens,63,1961-12-06,SPEED OVER 40,2025,11,11
OO866010,New York,58,1966-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
JL184528,Nassau,17,2007-12-07,FAULTY EQUIPMENT,2025,11,0
BQ917602,New York,23,2001-12-06,FAULTY EQUIPMENT,2025,11,0
DB774456,Suffolk,43,1981-12-06,SPEED IN ZONE 1-10,2025,11,3
IP981842,New York,56,1968-12-06,IMPROPER PASSING,2025,11,3
KS332327,Suffolk,26,1998-12-07,IMPROPER CELL PHONE USE,2025,11,5
XI357992,New York,51,1973-12-06,SPEED IN ZONE 11-20,2025,11,4
FQ914240,Queens,56,1968-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
MW698376,Suffolk,44,1980-12-06,SPEED IN ZONE 1-10,2025,11,3
YA092914,Other,18,2006-12-07,CHILD SAFETY RESTRAINT,2025,11,3
FI877999,Suffolk,20,2004-12-06,UNREGISTERED VEHICLE,2025,11,0
PV537782,Other,58,1966-12-07,UNLICENSED OPERATOR,2025,11,0
GM283864,Westchester,20,2004-12-06,UNINSPECTED VEHICLE,2025,11,0
NY485126,New York,30,1994-12-07,DISOBEY TRAFFIC DEVICE,2025,11,2
IW067123,Nassau,43,1981-12-06,SPEED OVER 40,2025,11,11
BG632625,Kings,22,2002-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
CE240924,Bronx,37,1987-12-07,UNLICENSED OPERATOR,2025,11,0
XB128571,Suffolk,32,1992-12-06,FAILED TO STOP SCHOOL BUS,2025,11,5
GF733879,Erie,35,1989-12-06,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
YX789918,Other,77,1947-12-07,CHILD SAFETY RESTRAINT,2025,11,3
CG908997,Other,39,1985-12-06,SPEED IN ZONE 21-30,2025,11,6
ZL348079,Nassau,18,2006-12-07,IMPROPER PASSING,2025,11,3
GM778062,Nassau,37,1987-12-07,SPEED IN ZONE 11-20,2025,11,4
DM317608,Queens,30,1994-12-07,IMPROPER CELL PHONE USE,2025,11,5
KM391664,Erie,19,2005-12-06,DISOBEY TRAFFIC DEVICE,2025,11,2
CA121932,Kings,20,2004-12-06,IMPROPER TURN,2025,11,2
RG570277,Queens,29,1995-12-07,UNINSPECTED VEHICLE,2025,11,0
AF039038,Suffolk,43,1981-12-06,TINTED WINDOW,2025,11,0
MO584735,Queens,28,1996-12-06,RECKLESS DRIVING,2025,11,5
KD110440,Queens,40,1984-12-06,UNLICENSED OPERATOR,2025,11,0
WC719087,Bronx,21,2003-12-07,DRIVING LEFT OF CENTER,2025,11,3
DP950814,Nassau,20,2004-12-06,UNREGISTERED VEHICLE,2025,11,0
MA838249,Bronx,47,1977-12-06,UNINSPECTED VEHICLE,2025,11,0
CB681037,New York,29,1995-12-07,NO SEAT BELT ADULT,2025,11,0
FA846378,Bronx,28,1996-12-06,RAILROAD CROSSING VIOLATION,2025,11,5
FO465071,Other,22,2002-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
MI615924,Other,24,2000-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
OU065814,Kings,45,1979-12-07,IMPROPER TURN,2025,11,2
EW794961,Suffolk,37,1987-12-07,IMPROPER PASSING,2025,11,3
QJ007968,Other,17,2007-12-07,SPEED IN ZONE 31-40,2025,11,8
QK660478,Other,48,1976-12-06,FAIL TO SIGNAL,2025,11,2
LQ754611,Onondaga,29,1995-12-07,RECKLESS DRIVING,2025,11,5
FL360599,Other,61,1963-12-07,DISOBEY TRAFFIC DEVICE,2025,11,2
BJ639638,New York,39,1985-12-06,SPEED IN ZONE 21-30,2025,11,6
II306110,Bronx,28,1996-12-06,SPEED IN ZONE 1-10,2025,11,3
GX037723,Other,61,1963-12-07,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
FQ593516,Other,27,1997-12-06,FAULTY EQUIPMENT,2025,11,0
IP285849,Queens,46,1978-12-07,IMPROPER TURN,2025,11,2
TR512077,Onondaga,24,2000-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
VW771340,Other,62,1962-12-07,SPEED IN ZONE 31-40,2025,11,8
KL829484,Kings,28,1996-12-06,SPEED IN ZONE 11-20,2025,11,4
MT665040,Suffolk,54,1970-12-07,DISOBEY TRAFFIC DEVICE,2025,11,2
AU637959,Monroe,48,1976-12-06,UNLICENSED OPERATOR,2025,11,0
BG365925,Other,51,1973-12-06,SPEED IN ZONE 1-10,2025,11,3
YR588085,Suffolk,22,2002-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
UF883810,Other,52,1972-12-06,DISOBEY TRAFFIC DEVICE,2025,11,2
ZY775274,Queens,23,2001-12-06,IMPROPER CELL PHONE USE,2025,11,5
LY399492,Other,17,2007-12-07,DRIVING LEFT OF CENTER,2025,11,3
HL746472,Erie,24,2000-12-06,NO SEAT BELT ADULT,2025,11,0
II756014,Other,24,2000-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
ZX410334,Queens,26,1998-12-07,RAILROAD CROSSING VIOLATION,2025,11,5
BK443846,Kings,44,1980-12-06,SPEED IN ZONE 11-20,2025,11,4
JH689751,New York,63,1961-12-06,IMPROPER PASSING,2025,11,3
AP065379,Nassau,50,1974-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
LJ017171,Bronx,43,1981-12-06,SPEED OVER 40,2025,11,11
SW300082,Other,20,2004-12-06,SPEED IN ZONE 11-20,2025,11,4
ID468369,Bronx,35,1989-12-06,IMPROPER PASSING,2025,11,3
FD370179,Kings,50,1974-12-07,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
SU181554,Bronx,26,1998-12-07,RECKLESS DRIVING,2025,11,5
GF017002,Nassau,60,1964-12-06,SPEED IN ZONE 21-30,2025,11,6
ES252704,Queens,58,1966-12-07,NO SEAT BELT ADULT,2025,11,0
OA118499,Queens,67,1957-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
MQ275395,Nassau,61,1963-12-07,NO SEAT BELT ADULT,2025,11,0
DO983080,Other,30,1994-12-07,SPEED IN ZONE 1-10,2025,11,3
IL821376,Queens,59,1965-12-06,SPEED IN ZONE 1-10,2025,11,3
DG441194,Kings,32,1992-12-06,UNINSPECTED VEHICLE,2025,11,0
ZO105008,Kings,18,2006-12-07,FAIL TO SIGNAL,2025,11,2
EU852462,Nassau,52,1972-12-06,FAULTY EQUIPMENT,2025,11,0
EV470357,Kings,18,2006-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
FT272931,Erie,52,1972-12-06,SPEED IN ZONE 31-40,2025,11,8
XE499224,Suffolk,55,1969-12-06,UNINSPECTED VEHICLE,2025,11,0
IG350205,Kings,28,1996-12-06,SPEED OVER 40,2025,11,11
YZ480520,Suffolk,25,1999-12-07,RAILROAD CROSSING VIOLATION,2025,11,5
QJ877198,Other,20,2004-12-06,UNINSPECTED VEHICLE,2025,11,0
VT360348,Suffolk,27,1997-12-06,SPEED IN ZONE 21-30,2025,11,6
XT045003,Kings,23,2001-12-06,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
FP244436,New York,34,1990-12-07,UNLICENSED OPERATOR,2025,11,0
BK867462,Other,16,2008-12-06,IMPROPER CELL PHONE USE,2025,11,5
PG760939,Suffolk,31,1993-12-06,FAULTY EQUIPMENT,2025,11,0
CJ085512,Other,39,1985-12-06,FAULTY EQUIPMENT,2025,11,0
ON461617,Suffolk,31,1993-12-06,IMPROPER PASSING,2025,11,3
NB871089,New York,40,1984-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
XZ581809,Kings,18,2006-12-07,FAULTY EQUIPMENT,2025,11,0
LY393399,Queens,31,1993-12-06,FAULTY EQUIPMENT,2025,11,0
AF766959,Queens,20,2004-12-06,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
SF509363,Other,19,2005-12-06,SPEED IN ZONE 11-20,2025,11,4
UH276706,Bronx,53,1971-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
XV140949,Other,24,2000-12-06,IMPROPER TURN,2025,11,2
LS534032,Other,34,1990-12-07,CHILD SAFETY RESTRAINT,2025,11,3
ZH150737,Onondaga,42,1982-12-07,FAIL TO SIGNAL,2025,11,2
RR549471,New York,21,2003-12-07,FAULTY EQUIPMENT,2025,11,0
XN853059,Other,23,2001-12-06,FAIL TO SIGNAL,2025,11,2
HO573395,Kings,32,1992-12-06,SPEED IN ZONE 21-30,2025,11,6
CX970819,Nassau,24,2000-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
OY078262,Suffolk,41,1983-12-07,RECKLESS DRIVING,2025,11,5
SW540409,Westchester,37,1987-12-07,TINTED WINDOW,2025,11,0
QJ635344,Other,26,1998-12-07,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
HE325046,Onondaga,37,1987-12-07,IMPROPER PASSING,2025,11,3
JN911556,Bronx,28,1996-12-06,IMPROPER TURN,2025,11,2
SL257818,Nassau,52,1972-12-06,SPEED OVER 40,2025,11,11
UA130640,Suffolk,63,1961-12-06,CHILD SAFETY RESTRAINT,2025,11,3
CV458767,New York,33,1991-12-07,SPEED OVER 40,2025,11,11
VZ707302,Other,19,2005-12-06,NO SEAT BELT ADULT,2025,11,0
FK582508,Nassau,28,1996-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
KY819236,Kings,49,1975-12-07,DRIVING LEFT OF CENTER,2025,11,3
AN069809,Kings,26,1998-12-07,NO SEAT BELT ADULT,2025,11,0
DU914384,Westchester,26,1998-12-07,FAULTY EQUIPMENT,2025,11,0
MZ617246,Onondaga,27,1997-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
AG085765,Kings,35,1989-12-06,SPEED IN ZONE 21-30,2025,11,6
HB314482,Nassau,19,2005-12-06,FAULTY EQUIPMENT,2025,11,0
IW136848,Suffolk,25,1999-12-07,FAULTY EQUIPMENT,2025,11,0
PL948113,New York,20,2004-12-06,UNLICENSED OPERATOR,2025,11,0
DA938938,New York,54,1970-12-07,UNREGISTERED VEHICLE,2025,11,0
ML729082,Other,47,1977-12-06,IMPROPER PASSING,2025,11,3
SE006948,Kings,19,2005-12-06,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
FF683085,Kings,20,2004-12-06,DRIVING LEFT OF CENTER,2025,11,3
VV975286,Kings,20,2004-12-06,SPEED IN ZONE 21-30,2025,11,6
OD711484,Suffolk,52,1972-12-06,UNLICENSED OPERATOR,2025,11,0
KX601254,Other,28,1996-12-06,CHILD SAFETY RESTRAINT,2025,11,3
WX396060,Other,30,1994-12-07,FAULTY EQUIPMENT,2025,11,0
VO316995,Kings,20,2004-12-06,IMPROPER TURN,2025,11,2
JO778820,New York,16,2008-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
KJ733342,Queens,24,2000-12-06,SPEED OVER 40,2025,11,11
VU281744,Suffolk,32,1992-12-06,SPEED IN ZONE 11-20,2025,11,4
LU087904,Richmond,39,1985-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
SF040543,Erie,36,1988-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
VT884680,Other,38,1986-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
WS473655,Other,43,1981-12-06,FAIL TO SIGNAL,2025,11,2
DU820309,Kings,57,1967-12-07,SPEED IN ZONE 21-30,2025,11,6
GG391664,Westchester,46,1978-12-07,IMPROPER CELL PHONE USE,2025,11,5
AO299199,Queens,33,1991-12-07,RECKLESS DRIVING,2025,11,5
FN164903,Kings,76,1948-12-06,FAIL TO SIGNAL,2025,11,2
ZT194008,Other,28,1996-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
WI128647,Onondaga,20,2004-12-06,IMPROPER TURN,2025,11,2
VY880925,Queens,20,2004-12-06,RECKLESS DRIVING,2025,11,5
UH742231,Queens,61,1963-12-07,SPEED IN ZONE 1-10,2025,11,3
HX283195,Bronx,20,2004-12-06,SPEED IN ZONE 1-10,2025,11,3
MI813463,Bronx,44,1980-12-06,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
GB442765,Bronx,62,1962-12-07,UNREGISTERED VEHICLE,2025,11,0
MF504054,Bronx,25,1999-12-07,DRIVING LEFT OF CENTER,2025,11,3
WP927514,Kings,29,1995-12-07,DRIVING LEFT OF CENTER,2025,11,3
GB985389,Richmond,26,1998-12-07,DRIVING LEFT OF CENTER,2025,11,3
DZ410270,Other,35,1989-12-06,IMPROPER PASSING,2025,11,3
VG775214,Bronx,29,1995-12-07,UNLICENSED OPERATOR,2025,11,0
WI730975,Westchester,56,1968-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
UT833614,Other,23,2001-12-06,NO SEAT BELT ADULT,2025,11,0
LT657212,Other,25,1999-12-07,NO SEAT BELT ADULT,2025,11,0
QC649544,Queens,22,2002-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
QR831768,Kings,29,1995-12-07,SPEED OVER 40,2025,11,11
DX537030,Other,67,1957-12-06,TINTED WINDOW,2025,11,0
FP621601,Westchester,48,1976-12-06,SPEED IN ZONE 1-10,2025,11,3
YV016510,Queens,45,1979-12-07,SPEED IN ZONE 11-20,2025,11,4
JX400944,Other,26,1998-12-07,LEAVING SCENE PROP DAMAGE,2025,11,3
UN422157,Bronx,38,1986-12-07,FAILED TO STOP SCHOOL BUS,2025,11,5
TP025145,Bronx,23,2001-12-06,FAILED TO STOP SCHOOL BUS,2025,11,5
EY043077,Suffolk,45,1979-12-07,SPEED IN ZONE 11-20,2025,11,4
WT277022,Other,47,1977-12-06,UNLICENSED OPERATOR,2025,11,0
UK414220,Other,28,1996-12-06,DRIVING LEFT OF CENTER,2025,11,3
LJ558538,Queens,32,1992-12-06,SPEED IN ZONE 1-10,2025,11,3
WZ106829,Erie,40,1984-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
UQ869800,Suffolk,21,2003-12-07,IMPROPER TURN,2025,11,2
IP103123,Queens,27,1997-12-06,IMPROPER TURN,2025,11,2
AI231647,Queens,37,1987-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
PB045629,Richmond,25,1999-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
QM549700,New York,45,1979-12-07,FAILED TO STOP SCHOOL BUS,2025,11,5
SR019876,Richmond,36,1988-12-06,UNINSPECTED VEHICLE,2025,11,0
SK638198,Other,20,2004-12-06,TINTED WINDOW,2025,11,0
MW360160,Kings,31,1993-12-06,FAULTY EQUIPMENT,2025,11,0
US901112,Other,70,1954-12-07,UNLICENSED OPERATOR,2025,11,0
AY570006,Other,33,1991-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
PS894649,New York,28,1996-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
EY192222,Other,37,1987-12-07,CHILD SAFETY RESTRAINT,2025,11,3
TH178266,New York,28,1996-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
II189034,Other,44,1980-12-06,SPEED IN ZONE 1-10,2025,11,3
PA656748,Kings,23,2001-12-06,SPEED OVER 40,2025,11,11
KV073136,Kings,43,1981-12-06,DRIVING LEFT OF CENTER,2025,11,3
LR137648,Other,36,1988-12-06,DRIVING LEFT OF CENTER,2025,11,3
GU525786,Kings,22,2002-12-07,FAULTY EQUIPMENT,2025,11,0
ZX715083,Suffolk,17,2007-12-07,DRIVING LEFT OF CENTER,2025,11,3
UW451786,Queens,15,2009-12-06,FAIL TO SIGNAL,2025,11,2
RN265073,Other,22,2002-12-07,FAILED TO STOP SCHOOL BUS,2025,11,5
XZ928968,Onondaga,51,1973-12-06,RAILROAD CROSSING VIOLATION,2025,11,5
LX942158,New York,39,1985-12-06,SPEED IN ZONE 11-20,2025,11,4
XJ089076,Other,54,1970-12-07,VIOLATION OF TRAFFIC SIGNAL,2025,11,3
UQ769333,Monroe,35,1989-12-06,SPEED OVER 40,2025,11,11
LM725074,Kings,34,1990-12-07,SPEED IN ZONE 11-20,2025,11,4
TZ804947,Other,26,1998-12-07,TINTED WINDOW,2025,11,0
NM507957,Other,30,1994-12-07,SPEED IN ZONE 31-40,2025,11,8
XA221879,Westchester,27,1997-12-06,UNLICENSED OPERATOR,2025,11,0
QQ164470,Bronx,23,2001-12-06,SPEED OVER 40,2025,11,11
PW786443,Queens,43,1981-12-06,NO SEAT BELT ADULT,2025,11,0
LD937624,Bronx,47,1977-12-06,UNREGISTERED VEHICLE,2025,11,0
DI777964,Other,26,1998-12-07,SPEED IN ZONE 1-10,2025,11,3
OA761786,Erie,45,1979-12-07,CHILD SAFETY RESTRAINT,2025,11,3
DN406427,Other,39,1985-12-06,NO SEAT BELT ADULT,2025,11,0
GD359429,Kings,46,1978-12-07,UNINSPECTED VEHICLE,2025,11,0
ST506545,Other,31,1993-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
XA282137,Other,32,1992-12-06,TINTED WINDOW,2025,11,0
JC489024,Queens,66,1958-12-07,IMPROPER PASSING,2025,11,3
QT864670,Bronx,23,2001-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
ZB084206,Other,43,1981-12-06,RECKLESS DRIVING,2025,11,5
AA279980,Other,56,1968-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
GD955153,Suffolk,29,1995-12-07,FAIL TO SIGNAL,2025,11,2
CI547963,Bronx,60,1964-12-06,IMPROPER CELL PHONE USE,2025,11,5
GZ399826,Suffolk,29,1995-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
YR576034,Kings,27,1997-12-06,UNINSPECTED VEHICLE,2025,11,0
DH663102,Westchester,39,1985-12-06,SPEED IN ZONE 21-30,2025,11,6
XX296636,Nassau,34,1990-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
ZV359238,Erie,27,1997-12-06,TINTED WINDOW,2025,11,0
QC009005,Other,28,1996-12-06,SPEED IN ZONE 21-30,2025,11,6
HV158273,Other,17,2007-12-07,DRIVING LEFT OF CENTER,2025,11,3
GI751823,Kings,21,2003-12-07,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
EQ117310,Queens,40,1984-12-06,DRIVING LEFT OF CENTER,2025,11,3
MH404484,New York,20,2004-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
WN500234,Onondaga,23,2001-12-06,SPEED IN ZONE 11-20,2025,11,4
AO221279,Nassau,23,2001-12-06,UNLICENSED OPERATOR,2025,11,0
VU942919,Queens,29,1995-12-07,FAULTY EQUIPMENT,2025,11,0
JG646974,Other,16,2008-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
RQ416484,New York,61,1963-12-07,IMPROPER TURN,2025,11,2
YC301692,Other,27,1997-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
PE105580,Other,31,1993-12-06,TINTED WINDOW,2025,11,0
HD366671,Richmond,35,1989-12-06,TINTED WINDOW,2025,11,0
ON622044,Other,32,1992-12-06,IMPROPER CELL PHONE USE,2025,11,5
LL325191,Queens,24,2000-12-06,SPEED IN ZONE 11-20,2025,11,4
HC653503,Other,23,2001-12-06,FAULTY EQUIPMENT,2025,11,0
IS560589,Kings,60,1964-12-06,IMPROPER TURN,2025,11,2
ZN157436,Queens,30,1994-12-07,DISOBEY TRAFFIC DEVICE,2025,11,2
EJ318647,Queens,22,2002-12-07,FAIL TO SIGNAL,2025,11,2
VS832231,Suffolk,31,1993-12-06,SPEED IN ZONE 11-20,2025,11,4
UT503895,Other,34,1990-12-07,SPEED IN ZONE 11-20,2025,11,4
NX374999,Other,24,2000-12-06,IMPROPER PASSING,2025,11,3
UM911030,New York,49,1975-12-07,NO SEAT BELT ADULT,2025,11,0
QZ371520,Erie,38,1986-12-07,FAULTY EQUIPMENT,2025,11,0
KQ289103,Queens,20,2004-12-06,LEAVING SCENE PROP DAMAGE,2025,11,3
FS159962,Westchester,61,1963-12-07,SPEED IN ZONE 21-30,2025,11,6
NR837964,New York,27,1997-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
JJ973128,Other,51,1973-12-06,UNINSPECTED VEHICLE,2025,11,0
PI142778,Other,37,1987-12-07,FAIL TO SIGNAL,2025,11,2
OW747087,Nassau,38,1986-12-07,FAILED TO YIELD RIGHT OF WAY,2025,11,3
KB498449,Queens,37,1987-12-07,FAULTY EQUIPMENT,2025,11,0
AQ749861,Queens,24,2000-12-06,DISOBEY TRAFFIC DEVICE,2025,11,2
EW684547,Nassau,43,1981-12-06,SPEED OVER 40,2025,11,11
HD382121,Kings,40,1984-12-06,SPEED IN ZONE 31-40,2025,11,8
BP380259,Queens,44,1980-12-06,FAIL TO SIGNAL,2025,11,2
YD036055,Queens,18,2006-12-07,FAULTY EQUIPMENT,2025,11,0
UM926770,Richmond,42,1982-12-07,NO SEAT BELT ADULT,2025,11,0
KQ347140,Kings,35,1989-12-06,IMPROPER TURN,2025,11,2
MZ158933,New York,43,1981-12-06,TINTED WINDOW,2025,11,0
WG906124,Onondaga,18,2006-12-07,SPEED OVER 40,2025,11,11
YY951114,Queens,23,2001-12-06,IMPROPER PASSING,2025,11,3
ZT993870,Nassau,23,2001-12-06,CHILD SAFETY RESTRAINT,2025,11,3
